Категория;Бренд;Название;Цена;Артикул;Есть описание;Фото;URL
Очистители дисков, резины и хрома;Shine Systems;Shine Systems IronOFF Gel - нейтральный очиститель дисков с индикатором, 750 мл;590;;да;https://static.tildacdn.com/stor3731-6162-4230-b932-626662396439/71967730.jpg;http://carshine26.ru/ochestiteli-diskov-reziny-chroma/tproduct/631253960152-shine-systems-ironoff-gel-neitralnii-och
Очистители дисков, резины и хрома;Shine Systems;"Shine Systems Tire&amp;Wheel Cleaner - очиститель резины и колес, 900 мл";490;;да;https://static.tildacdn.com/stor3238-3033-4837-b937-313139646234/64162200.jpg;http://carshine26.ru/ochestiteli-diskov-reziny-chroma/tproduct/611879004182-shine-systems-tireampwheel-cleaner-ochis
Бесконтактные шампуни;Shine Systems;Shine Systems ActiveBase - активный шампунь для бесконтактной мойки, 20 кг;2990;;нет;https://static.tildacdn.com/stor3935-6538-4231-a361-396438386635/15124505.jpg;http://carshine26.ru/beskontaktnye-shampuny/tproduct/573900352742-shine-systems-activebase-aktivnii-shampu
Бесконтактные шампуни;Shine Systems;Shine Systems ActiveBase - активный шампунь для бесконтактной мойки, 5 л;990;;нет;https://static.tildacdn.com/stor3963-6139-4739-b637-343733363563/58744642.jpg;http://carshine26.ru/beskontaktnye-shampuny/tproduct/309930350472-shine-systems-activebase-aktivnii-shampu
Бесконтактные шампуни;Shine Systems;Shine Systems ActiveFoam - активная пена для бесконтактной мойки, 20 кг;4990;;нет;https://static.tildacdn.com/stor6165-3930-4139-a632-643436373263/48307767.jpg;http://carshine26.ru/beskontaktnye-shampuny/tproduct/979345670242-shine-systems-activefoam-aktivnaya-pena
Бесконтактные шампуни;Shine Systems;Shine Systems ActiveFoam - активная пена для бесконтактной мойки, 900 мл;390;;нет;https://static.tildacdn.com/stor3432-3835-4437-b365-666631666531/50112797.jpg;http://carshine26.ru/beskontaktnye-shampuny/tproduct/290071892402-shine-systems-activefoam-aktivnaya-pena
Бесконтактные шампуни;Shine Systems;Shine Systems ActiveGel - активный шампунь для бесконтактной мойки, 20 кг;4790;;нет;https://static.tildacdn.com/stor3563-3435-4339-b239-396261366165/86114800.jpg;http://carshine26.ru/beskontaktnye-shampuny/tproduct/388378923352-shine-systems-activegel-aktivnii-shampun
Бесконтактные шампуни;Shine Systems;Shine Systems Black Line GentleWash - деликатный шампунь для бесконтактной мойки, 5 л;1590;;нет;https://static.tildacdn.com/stor6362-3866-4561-b062-313664303866/70873854.jpg;http://carshine26.ru/beskontaktnye-shampuny/tproduct/296742568462-shine-systems-black-line-gentlewash-deli
Бесконтактные шампуни;Shine Systems;Shine Systems Black Line GentleWash - деликатный шампунь для бесконтактной мойки, 750 мл;290;;нет;https://static.tildacdn.com/stor3136-3961-4161-b537-613330396534/11078626.jpg;http://carshine26.ru/beskontaktnye-shampuny/tproduct/234503377922-shine-systems-black-line-gentlewash-deli
Бесконтактные шампуни;Shine Systems;Shine Systems DelicateWash - активный шампунь для деликатной мойки авто, 20 кг;4290;;нет;https://static.tildacdn.com/stor3931-3261-4331-b535-353665663165/33022627.jpg;http://carshine26.ru/beskontaktnye-shampuny/tproduct/270932826322-shine-systems-delicatewash-aktivnii-sham
